Nombre del repuesto,descripción ,marca,tamaño,categoria,cantidad,precio estimado,codigo,ubicación 
gorroguardapolvo,b telesc DT125 175,exito,,,7,4000,,
patin tensor,cadena DT,,,,3,5000,,
farola  completa ,criptón 115,mototec ,,,1,60000,,
farola ,DTK125,mototec ,,,2,45000,,
farola ,GS125,mototec ,,,1,65000,,
farola ,GN125,mototec ,,,1,60000,,
farola ,RX115,mototec ,,,1,45000,,
farola ,libero125,mototec ,,,1,65000,,
farola ,AX100,mototec ,,,3,45000,,
comando,izq AKT 200,mototec ,,,1,45000,,
comando ,izq ecodeluxe ,mototec ,,,1,45000,,
comando ,izq YBR125,mototec ,,,2,45000,,
comando , DTKV125,mototec ,,,1,55000,,
comando ,izq XTZ 125,mototec ,,,1,50000,,
comando ,izq AGILITY 125,mototec ,,,1,45000,,
comando,izq NXR 125BROX,mototec ,,,1,50000,,
bace manigueta ,izq  CB110,crown ,,,2,14000,,
bace manigueta ,izq ECODELUXE ,crown ,,,4,14000,,
bace manigueta ,izq ECO SPLENDOR,crown ,,,4,14000,,
filtro de aceite ,pulsar200NS,crown ,,,5,12000,,
filtro de.aceite,GN 125,CDT,,,8,12000,,
filtro de aceite ,criptón 115,crown ,,,2,10000,,
filtro de aceite ,BOXER CT100 PULSAR 135,MOTOTEC ,,,11,12000,,
filtro de aceite ,XTZ 250 500 600,EVOL,,,12,10000,,
filtro de aceite ,DR200,EVOL,,,5,10000,,
filtro aceite ,NS200,crown ,,,3,12000,,
ROTOR FILTRO ,ACEITE NXR125BROS,crown ,,,2,39000,,
correa de trasmisión ,BWIS125,MOTOSAU,,,6,47000,,
correa de trasmisión ,CK125T-6,motosAU ,,,4,47000,,
correa de trasmisión ,scooters,V -BELT,,,2,72000,,
correa de trasmisión ,CK125T-6 ,kymko,,,2,72000,,
kit tijera,ECO DELUXE,crown ,,,2,40000,,
kit  tijera ,pulsar 135,crown ,,,3,35000,,
kit tijera,AK 150TX,crown ,,,2,40000,,
kit tijera ,APACHE,crown ,,,1,35000,,
kit tijera ,FZ16,crown ,,,1,70000,,
kit tijera ,YBR125,crown ,,,1,45000,,
kit tijera ,ECO100,crown ,,,1,40000,,
kit tijera ,CB110,crown ,,,1,35000,,
kit tijera ,AKT110,crown ,,,1,38000,,
llave paso gasolina , LIBERO YBR 125,mototec ,,,2,25000,,
llave paso gasolina ,AKT125/XLR/BROS,mototec ,,,2,20000,,
llave paso gasolina ,AGILITY 125,MOTOTEC ,,,1,20000,,
llave paso gasolina ,AX100,MOTOTEC ,,,2,25000,,
llave paso gasolina ,AKT110,mototec ,,,2,12000,,
llave paso gasolina ,SPLENDOR ,crown ,,,1,22000,,
llave paso gasolina ,AKT125,crown ,,,1,25000,,
llave paso gasolina ,CBF150,crown ,,,1,39000,,
llave paso gasolina ,AKT110,crown ,,,2,15000,,
campana tracera,BOXER CT100,mototec ,,,1,100000,,
CAMPANA DELANTERA,BOXER CT100,motetec ,,,1,90000,,
campana tracera ,cripton,mototec ,,,1,98000,,
campana delantera ,ECO100,motetec ,,,2,90000,,
campana delantera ,AKT125 SL,mototec ,,,1,80000,,
campana tracera ,AX100 FR80,mototec ,,,1,99000,,
campana tracera,RX115,motetec ,,,2,120000,,
campana tracera,AX4 ,mototec ,,,2,90000,,
campana tracera ,ct150 bm 150,MOTOTEC ,,,2,130000,,
campana delantera ,V80,,,,1,50000,,
campana delantera ,C70,,,,1,50000,,
campana delantera ,C90,,,,1,80000,,
centro de plato,embrague AKT EVO 125,crown ,,,2,70000,,
centro y plato,embrague AC4,crown ,,,2,60000,,
centro y plato,embrague LIBERO,crown ,,,3,65000,,
Automático clutch ,BWIS 125,motos de occidente ,,,1,150000,,
centro y plato o,prensa de clutch boxer,ct motoparts,,,1,60000,,
centro y plato bo,prensa clutch discover,motoparts ,,,1,50000,,
centro y plato o ,prensa clutch libero125,motoplastic ,,,1,77000,,
BENDIX COMPLETO,fz16,kmt,,,1,97000,,
BENDIX arranque , GN GS 125,NPC,,,1,90000,,
clutch automático ,wave110,crown ,,,1,85000,,
cadena428,AKT CR4 125,mototec ,,,5,40000,,
plato tracero H,40 T AKTCR4 125,mototec ,,,5,35000,,
piño delantero ,14TAKTCR4 125,mototec ,,,5,15000,,
cadena 428H,FZ16,mototec ,,,2,40000,,
plato tracero ,40T FZ16,mototec ,,,2,35000,,
piñon delantero ,14TFZ16,mototec ,,,2,15000,,
plato tracero,FZ16 2.0 freno disco,mototec ,,,2,40000,,
piñon delantero , FZ16 2.0 freno disco,mototec ,,,2,18000,,
cadena 4 28H,Best FD VIVAX,mototec ,,,2,40000,,
plato tracero ,Best FD VIVAX ,mototec ,,,2,35000,,
piñon delantero ,Best FD VIVAX ,mototec ,,,2,15000,,
plato tracero ,viva115 35T,mototec ,,,2,35000,,
piñon delantero ,VIVA115,mototec ,,,2,15000,,
cadena 428H,cripton115,MOTOTEC ,,,1,40000,,
plato tracero ,cripton115 41 t,MOTOTEC ,,,2,35000,,
piñon delantero ,cripton 15t,MOTOTEC ,,,2,15000,,
cadena428H,RX115,MOTOTEC ,,,2,40000,,
plato tracero ,RX115 38T,MOTOTEC ,,,2,35000,,
piñón delantero ,RX 115T,MOTOTEC ,,,2,15000,,
cadena 520H,MRX125,MOTOTEC ,,,1,60000,,
plato tracero ,MRX125,MOTOTEC ,,,1,40000,,
piñón delantero ,MRX13T,MOTOTEC ,,,1,18000,,
cadena 428T,criptón 110,MOTOTEC ,,,2,40000,,
plato tracero ,criptón 37T 110,MOTOTEC ,,,2,35000,,
piñón y delantero ,criptón 14T /110,MOTOTEC ,,,2,15000,,
plato tracero 44 T,libero125/110YBR,MOTOTEC ,,,1,35000,,
piñon delantero ,libero125/110YBR,MOTOTEC ,,,1,15000,,
plato tracero ,Akt 125 NE 41 T,motos AU,,,1,35000,,
plato tracero ,AKT CR5 40T,motos AU ,,,1,38000,,
plato tracero ,AKT 125 TTR 42T,MOTOSAU ,,,1,38000,,
plato tracero ,Akt 125 EVO 38T,MOTOSAU ,,,3,35000,,
cadena,420H,mototec ,,,3,30000,,
plato tracero ,DREAM 110 41 T,mototec ,,,2,35000,,
cadenas 428,DREAM110,mototec ,,,2,38000,,
piñon delantero ,DREAM110  14T,mototec ,,,2,15000,,
plato tracero KTM45T, DUKE 200 6 HUECOS,motetec ,,,1,38000,,
cadena 520,KTM 200,mototec ,,,1,50000,,
piñon delan 15T,KTM 200,mototec ,,,1,15000,,
plato tracero 45T,KTM200 4HUECOS,mototec ,,,1,35000,,
piñon delantero 15 T,KRMDUKE 200,mototec ,,,1,15000,,
cadena 428 H,TVS Apache 160RTR4V,mototec ,,,1,38000,,
piñon delantero 13T,tvsApache160RTR4V,mototec ,,,1,15000,,
plato tracero 42T,SZR150,motetec ,,,2,35000,,
cadena428H,SZR150,mototec ,,,2,40000,,
piñon delantero 14T,SZR150,mototec ,,,2,15000,,
plato tracero 50T,XTZ125,mototec ,,,2,35000,,
cadena 428H,XTZ125,mototec ,,,2,40000,,
piñón delantero 14T,XTZ125,mototec ,,,2,40000,,
plato tracero 43T,CBF 125,mototec ,,,3,35000,,
piñon delantero ,14TCBF125,mototec ,,,3,15000,,
plato tracero 43T,CBF125,EVOL,,,1,35000,,
plato tracero 47T,DT125 4 huecos,MOTOSAU ,,,2,33000,,
piñón delantero 15T,DT125,MOTOSAU ,,,2,15000,,
plato tracero 35T,VIVA BES VIVA115 AX100,CHOHO,,,2,40000,,
cadena 428 H,VIVA 115 BEST AX100,CHOHO,,,2,50000,,
piñon delantero 14T,VIVA BES VIVAX115 AC100,CHOHO,,,2,18000,,
plato tracero 42T,DR150,CHOHO,,,1,45000,,
plato tracero 37 T,criptón 110,CHOHO,,,2,38000,,
piñon delantero 14T,criptón 110,CHOHO,,,2,18000,,
cadena428H,criptón 110,CHOHO,,,2,50000,,
plato tracero 47T,KLX150,CHOHO,,,2,55000,,
piñón delantero 14T,KLX150,CHOHO,,,2,18000,,
plato tracero 54T,HONDA NXRBROS125,CHOHO,,,2,65000,,
piñon delantero 17T,HONDA NXR125BROS,CHOHO,,,1,18000,,
plató  tracero 33T,AKT 125,CHOHO,,,1,40000,,
plato tracero 40T,AKT TTR 180/200,CHOHO,,,1,45000,,
plato tracero 46T,PULSA NS200,CHOHO,,,2,40000,,
piñon delantero 15T,PULSAR NS200,CHOHO,,,1,18000,,
plato tracero 47 T,KLX 125,CHOHO,,,1,40000,,
plato tracero 44T,honda brox 125,EVOL,,,2,35000,,
plato tracero 39T,TS185ER,globasteel,,,4,35000,,
plato tracero 39T,ts185,EVOL,,,4,35000,,
plato tracero 39T,ts 185,NK,,,1,35000,,
plato tracero 39T,pulsar NS200,AKITA,,,1,35000,,
Stop completo ,BOXER CT100,mototec ,,,1,35000,,
stop completo ,BOXER BM100,mototec ,,,2,32000,,
stop completo ,FZ16 DTK,mototec ,,,1,30000,,
pedal cambio,AKT CARGUERO ,AKT,,,1,74000,,
bomba aceite ,pulsar 200NS Original ,parts y accesorios ,,,2,70000,,
bomba aceite ,CB110,parts y accesorios ,,,1,90000,,
bomba aceite ,CBF150,parts y accesorios ,,,1,110000,,
bomba aceite ,Eco,parts y accesorios ,,,1,90000,,
bomba aceite ,AKT 125carguero,AKT ,,,1,78000,,
pedal freno,CB110,parts y accesorios ,,,1,38000,,
pedal freno ,CBZ,YKMT,,,2,25000,,
tornillos  culatin,pulsar 1/4,procolpartes,,,4,12000,,
tornillos culatin ,honda 6 mm,procolpartes ,,,4,10000,,
tornillos culatin,honda1/4,procolpartes ,,,2,12000,,
tornillos culatin ,pulsar6mm,procolpartes ,,,3,10000,,
tuerca eje clutch ,pulsar 135,procolpartes ,,,1,8000,,
tuerca piñón ,klt arrastre GN,procolpartes ,,,3,10000,,
balancín admisión escap,BOXER,crown ,,,1,60000,,
balancín admisión escap,AKT NKD EVO 125,BOST,,,5,55000,,
balancín admisión esc,WIND 125,crown ,,,2,60000,,
balancín superior,AKT125,crown ,,,1,60000,,
balancín admisión esc,BWS125,crown ,,,1,70000,,
balancín admisión esc,AGILITY 125,crown ,,,1,60000,,
balancín motor ,discover 100,Sp,,,1,60000,,
