Nombre del repuesto,descripción ,marca,tamaño,categoria,cantidad,precio estimado,codigo,ubicación 
disco clutch ,rx100/115/libero/dt125/ybr125,motoau,,,7,,,
disco clutch ,cb110,hlkmotor,,,5,,,
disco clutch ,boxer,moto parts,,,10,,,
disco clutch ,c90,crown ,,,2,,,
disco clutch ,an80,v.v motor,,,3,,,
disco clutch ,cd100/eco100/akt125/,narita,,,5,,,
disco clutch ,v80,okiyama,,,1,,,
disco clutch ,fz16,kamlion,,,5,,,
disco clutch ,Best125/vivax/ax4,hlkmotor,,,7,,,
disco clutch ,dt125,kcc. genuine parts ,,,13,,,
bandas freno,cy80/rx115/v80/rx100,mototec,,,6,,,
bandas freno ,ecodeluxe/akt110,mototec,,,6,,,
bandas freno ,boxerct100/ax100,mototec,,,12,,,
bandas freno ,boxerct100/ax,CDT,,,3,,,
bandas freno ,akt125/evo/disct/gnt/gst/tw,choho,,,4,,,
bandas freno ,akt125/nkd/cb110/ecodeluxe/xl125/185,choho,,,2,,,
bandas freno ,libero125/ybr,mototec,,,6,,,
bandas freno ,yw125/bwis4t,hlkmotor,,,1,28000,,
bandas freno ,dinamic ,bost,,,2,30000,,
batería ,yb6.5L-B 12V 6.5ah,narita,,,1,,,
bateria,EB5L-B //disover/pulsar135/gixxer150/fz16/ybr/libero125,emotion,,,4,,,
bateria,ETZ5S/ETX4L// cb110/navi/criptonFi/r15v1,emotion ,,,4,,,
batería ,YTX9A-BS 12V9AH// pulsarns200/cbr600r/trx250/duke200/dr650/mt03,narita ,,,1,,,
batería ,SW12V2.5,akita,,,2,,,
caja de cambios,CG125/125R3125R,kontrol,,,2,,,
caja de cambios ,150TTR,kontrol ,,,1,,,
caja de cambios ,ybr125,kontrol,,,1,,,
caja de cambios,(rosca)ak 3w200,akt,,,1,,,
cilindro,akt125/tt125,akt,,,2,,,
casco,abatible naranja-verde,kontrol,M,,1,315000,,
casco,abatible gris-negro,kontrol,M,,1,315000,,
casco,integral gris-verde-naranja,kontrol,XL,,1,230000,,
casco,integral negro-verde,kontrol,M,,1,216000,,
casco,integral  negro con diseño,kontrol,L,,1,230000,,
casco,integral azul-gris-negro,kontrol,M,,1,216000,,
casco,integral negro-rojo,kontrol,L,,1,230000,,
casco,integral negro-azul,kontrol,L,,1,230000,,
casco,integral negro-rosa,kontrol,L,,1,230000,,
forros,sabanas-colores,none,universal ,,9,25000,,
forros,mallas-negras,motor lights,XL-XXL-3XL,,16,24000,,
suiche,interruptor doble con base universal,moto lights ,,,2,35000,,
suiche,universal de manubrio,moto lights ,,,2,15000,,
suiche,balacin 3 patas,moto lights ,,,9,5000,,
suiche,balacin 2 patas,moto lights ,,,2,5000,,
suiche,redondo sin base 3 cables,moto lights ,,,9,6000,,
pera de freno delantero,bws ,crown ,,,10,10000,,
suiche,universal cambio de luces scooter ,moto lights ,,,2,10000,,
suiche ,universal cambio de luces scooter ,moto lights ,,,2,10000,,
suiche,dos posiciones impermeable universal ,moto lights ,,,1,30000,,
socket,akt modelo nuevo,matsumoto,,,4,12000,,
balinera,cigueñal nkd 125 63/28,crown,,,4,38000,,
balinera ,cigueñal bwis 125,crown ,,,4,40000,,
balinera ,original 6304,koyo,,,2,30000,,
buje porta catalina,con tuerca boxer 31- 1510-28,crown ,,,6,120000,,
muñon Crank ,Ax4,motocycle parts,,,1,16000,,
seguro tapa lateral,DT 125 K,crown ,,,1,15000,,
selector de cambio,con orquídea cd 100 eco,crown ,,,1,79000,,
motor Arranque ,pulsar 200 NS,crown ,,,1,140.000,,
motor Arranque ,pulsar 135,crown ,,,1,130000,,
motor,YBR 125,crown ,,,1,145000,,
flacher ,12 v pulsar universal,,,,5,20000,,
bombillo farola,GN G S 12v35/w,mototec,,,9,10000,,
bombillo farola,halógeno 6v253p,,,,13,10000,,
bombillo lujo placa,color verde con cables,motorlights ,,,6,10000,,
bombillo lujo,placa color azul ,motorlights ,,,5,10000,,
fusibles de vidrio ,cuadrado de colores 25A,mundifer,,,124,2000,,
fusibles de vidrio,cuadrado mini de colores,mundifer ,,,95,2000,,
bombillo farola  halógeno ,1p 12v25 universal,motorlights ,,,8,8000,,
bombillo farola,boxer eco pulsar,mototec,,,10,10000,,
bombillo mini  piloto,universal 6v3,kobushi,,,124,2000,,
bombillo stop,universal 6v21,mototec,,,15,3000,,
bombillo farola,1p led 12v,motorlights ,,,5,45000,,
bombillo bayoneta,universal 12v3,motorlights ,,,10,2000,,
bombillo farola ,halógeno 12v35,motorlights ,,,2,12000,,
bombillo proyector placa,punto rojo universal ,motorlights ,,,3,25000,,
bombillo con tuerca,lujo porta placa,motola,,,2,25000,,
caucho manilar,negro sencillo universal ,motoplastic,,,2,22000,,
caucho manilar ,sencillo universal  azul claro,motoplastic ,,,4,20000,,
caucho manilar suzuki,azul oscuro universal ,motocycle ,,,4,2200,,
manubrio GN 125,cromado,cicol,,,1,49000,,
manubrio GS 125,cromado,cicol,,,2,44000,,
soporte frontal manubrio ,lujo luces,motorlights ,,,2,30000,,
soporte frontal corriente,manubrio 25,motorlights ,,,5,10000,,
soporte frontal corriente ,manubrio 27 cm,motorlights ,,,6,13000,,
soporte frontal corriente ,manubrio 23 cm,motorlights ,,,2,8000,,
espumas defensas ,universal negros,,,,4,8000,,
maleta parrilla renthql,universal rojo y azul,,,,2,40000,,
llanta,falcón TT,rbtyres,275_21,,2,135000,,
llanta,zmo61 dual,rbtyres,250 _17,,4,89000,,
llanta,arrow TT dual,ebtyres,300-17,,1,150000,,
llanta,racing to pistera,rbtyres ,140-70 17,,2,190000,,
llanta ,pistera,kontrol,350-16,,3,155000,,
llanta,arrow tl dual,rbtyres ,120-70-12,,2,160000,,
llanta,roqd max tl pistera,rbtyres ,120 -70-12,,2,144000,,
llanta,arrow tl dual,rbtyres ,130-70-12,,2,160000,,
llanta,cello matic,rbtyres ,,,2,13000,,
freno disco,pulsar NS 200 traceo,mototec ,,,2,90000,,
freno disco,apache RTR 180 tracero,mototec,,,1,90000,,
freno disco,cb 190 delantero,mototec,,,2,95000,,
freno disco,AKT TTR delantero,mototec,,,1,90000,,
freno disco ,pulsar 200 delantero,mototec,,,1,95000,,
freno disco,CB190R -250 tracero,mototec,,,1,95000,,
freno disco,CB160F tracero,morotec,,,1,90000,,
freno disco,YBR125 delantero,mototec,,,1,90000,,
freno disco ,LIBERO YBR 125 delantero,mototec,,,1,85000,,
freno disco,AKT NKD delantero,mototec,,,1,80000,,
freno disco,AKT RTX tracero,mototec,,,1,80000,,
freno disco,pulsar 200 delantero,mototec,,,1,95000,,
carenaje,AX 100-115 CON VISOr,motoplastic ,,,1,60000,,
carenaje ,ecodrluxe con calcomanía ,motoplastic ,,,3,45000,,
carenaje,ecodeluxe sin calcomanía ,motoplastic ,,,1,42000,,
carenaje,boxer sin visor A- R- N,motoplastic ,,,3,35000,,
carenaje,xtz modelo nuevo N-trns,motoplastic ,,,4,35000,,
carenaje,XTZ modelo viejo,motoplastic ,,,1,30000,,
carenaje,DTK125 R - TRSNS,motoplastic ,,,2,35000,,
carenaje,TTXL   N,motoplastic ,,,2,30000,,
carenaje,discover 100 sin visor N,motoplastic ,,,1,40000,,
carenaje,boxer ct completo N,motoplastic ,,,1,95000,,
carenaje,pulsar UG,motoplastic ,,,1,45000,,
guardabarro ,delantero AKT Evo R,motoplastic ,,,1,38000,,
guardabarro ,delantero  DTK 125,motoplastic ,,,4,35000,,
guardabarro,delantero XTZ inyec N,motoplastic ,,,1,45000,,
guardabarro,punta Di uni R-M-B,motoplastic ,,,4,34000,,
guardabarro,tracero ya uni  N,motoplastic ,,,2,35000,,
guardabarro ,tracero DTK 125 trans,motoplastic ,,,1,30000,,
guardabarro,delantero nkd inyec R N,motoplastic ,,,1,38000,,
guardabarro ,trac pulsar 180 N porta p,motoplastic ,,,1,45000,,
guardabarro ,delan apache R,motoplastic ,,,1,45000,,
guardabarro ,delantero gixxer,motoplastic ,,,1,40000,,
guardabarro,delan cb110 Az,motoplastic ,,,1,45000,,
guardabarro ,universal 2 piezas N,motoplastic ,,,1,35000,,
guardabarro , delan ya Negro,motoplastic ,,,2,45000,,
